EmployeeID,Date,Login,Logout
EMP010,2026-08-09,14:00,22:00
EMP021,2026-08-09,14:00,22:00
EMP016,2026-08-09,09:00,18:00
EMP006,2026-08-09,09:00,18:00
EMP013,2026-08-09,09:00,18:00
EMP045,2026-08-09,14:00,22:00
EMP022,2026-08-09,09:00,18:00
EMP037,2026-08-09,09:00,18:00
EMP040,2026-08-10,14:00,22:00
EMP006,2026-08-10,09:00,18:00
EMP045,2026-08-10,14:00,22:00
EMP017,2026-08-10,14:00,22:00
EMP014,2026-08-10,14:00,22:00
EMP002,2026-08-10,09:00,18:00
EMP033,2026-08-10,09:00,18:00
EMP044,2026-08-10,09:00,18:00
EMP003,2026-08-10,09:00,18:00
EMP008,2026-08-10,09:00,18:00
EMP020,2026-08-10,09:00,18:00
EMP010,2026-08-10,14:00,22:00
EMP036,2026-08-10,14:00,22:00
EMP016,2026-08-10,09:00,18:00
EMP034,2026-08-10,14:00,22:00
EMP021,2026-08-10,14:00,22:00
EMP037,2026-08-10,09:00,18:00
EMP038,2026-08-10,09:00,18:00
EMP026,2026-08-10,09:00,18:00
EMP047,2026-08-10,09:00,18:00
