RefundID,EmployeeID,RefundAmount,Date
RF0058,EMP003,1376.0,2026-07-11
RF0059,EMP027,1255.0,2026-08-05
RF0060,EMP013,4186.0,2026-08-05
RF0061,EMP036,4100.0,2026-07-02
RF0062,EMP005,2705.0,2026-07-12
RF0063,EMP029,3734.0,2026-07-30
RF0064,EMP050,820.0,2026-08-01
RF0065,EMP005,1265.0,2026-08-10
RF0066,EMP016,4330.0,2026-07-23
RF0067,EMP043,2365.0,2026-07-01
RF0068,EMP027,2823.0,2026-08-05
RF0069,EMP009,2421.0,2026-07-07
RF0070,EMP011,1170.0,2026-07-05
RF0071,EMP039,4166.0,2026-07-28
RF0072,EMP044,3839.0,2026-07-25
RF0073,EMP019,3482.0,2026-07-03
RF0074,EMP024,1895.0,2026-07-07
RF0075,EMP040,3287.0,2026-07-25
RF0076,EMP009,4775.0,2026-07-11
RF0077,EMP011,3319.0,2026-07-29
RF0078,EMP039,2572.0,2026-07-17
RF0079,EMP010,1498.0,2026-07-25
RF0080,EMP039,2709.0,2026-07-20
RF0081,EMP025,1984.0,2026-07-15
RF0082,EMP050,3134.0,2026-07-15
RF0083,EMP002,419.0,2026-07-29
RF0084,EMP048,1112.0,2026-07-22
RF0085,EMP012,3977.0,2026-07-25
RF0086,EMP002,2027.0,2026-07-24
RF0087,EMP037,2278.0,2026-07-09
RF0088,EMP027,2810.0,2026-08-07
RF0089,EMP042,2303.0,2026-07-24
RF0090,EMP006,3841.0,2026-07-30
RF0091,EMP005,1377.0,2026-08-06
RF0092,EMP029,3840.0,2026-08-07
RF0093,EMP045,1205.0,2026-07-28
RF0094,EMP021,1978.0,2026-08-02
RF0095,EMP040,3021.0,2026-07-20
RF0096,EMP046,4452.0,2026-07-31
RF0097,EMP044,1316.0,2026-07-14
RF0098,EMP026,3019.0,2026-07-30
RF0099,EMP035,508.0,2026-07-04
RF0100,EMP027,562.0,2026-08-07
RF0101,EMP034,3884.0,2026-07-11
RF0102,EMP029,3651.0,2026-07-27
RF0103,EMP027,2007.0,2026-07-01
RF0104,EMP022,3190.0,2026-07-07
RF0105,EMP007,51634.0,2026-08-10
RF0106,EMP038,1530.0,2026-08-04
RF0107,EMP007,54680.0,2026-07-10
RF0108,EMP031,1696.0,2026-07-06
RF0109,EMP007,25608.0,2026-08-03
RF0110,EMP030,2176.0,2026-08-10
RF0111,EMP016,1740.0,2026-07-07
RF0112,EMP002,2773.0,2026-07-28
RF0113,EMP004,3838.0,2026-07-12
RF0114,EMP030,1513.0,2026-07-31
RF0115,EMP048,4709.0,2026-07-18
RF0116,EMP026,2424.0,2026-07-06
RF0117,EMP023,3372.0,2026-07-14
RF0118,EMP005,4794.0,2026-07-23
RF0119,EMP034,2272.0,2026-08-02
RF0120,EMP003,1159.0,2026-07-01
RF0121,EMP043,3789.0,2026-08-09
RF0122,EMP007,38915.0,2026-07-27
RF0123,EMP050,2397.0,2026-08-05
RF0124,EMP015,4903.0,2026-08-08
RF0125,EMP009,2189.0,2026-07-07
RF0126,EMP015,3483.0,2026-07-04
RF0127,EMP040,2721.0,2026-08-01
RF0128,EMP007,44179.0,2026-07-08
RF0129,EMP045,1725.0,2026-07-07
RF0130,EMP008,2712.0,2026-07-20
RF0131,EMP007,52875.0,2026-08-07
RF0132,EMP011,2191.0,2026-08-02
RF0133,EMP038,2191.0,2026-07-22
RF0134,EMP031,4207.0,2026-07-09
RF0135,EMP018,794.0,2026-07-14
RF0136,EMP033,4244.0,2026-07-29
RF0137,EMP033,2170.0,2026-07-07
RF0138,EMP028,3326.0,2026-07-22
RF0139,EMP026,2873.0,2026-07-01
RF0140,EMP006,1638.0,2026-07-14
RF0141,EMP013,4667.0,2026-07-11
RF0142,EMP027,1277.0,2026-07-28
RF0143,EMP007,373.0,2026-08-07
RF0144,EMP024,3800.0,2026-07-07
RF0145,EMP007,57122.0,2026-08-02
RF0146,EMP040,4474.0,2026-07-27
RF0147,EMP006,2397.0,2026-08-09
RF0148,EMP005,280.0,2026-08-07
RF0149,EMP032,297.0,2026-07-05
RF0150,EMP007,42520.0,2026-07-31
RF0151,EMP018,1397.0,2026-07-25
RF0152,EMP016,4626.0,2026-07-05
RF0153,EMP011,768.0,2026-07-11
RF0154,EMP039,4427.0,2026-08-08
RF0155,EMP035,1240.0,2026-07-23
RF0156,EMP012,773.0,2026-07-14
RF0157,EMP035,1517.0,2026-07-14
RF0158,EMP036,891.0,2026-08-04
RF0159,EMP027,2126.0,2026-07-12
RF0160,EMP029,1786.0,2026-07-07
RF0161,EMP047,2739.0,2026-07-24
RF0162,EMP023,2777.0,2026-08-10
RF0163,EMP020,204.0,2026-07-08
RF0164,EMP027,799.0,2026-07-11
RF0165,EMP042,976.0,2026-07-20
RF0166,EMP036,1134.0,2026-07-09
RF0167,EMP004,649.0,2026-07-27
RF0168,EMP023,1710.0,2026-07-11
RF0169,EMP037,2838.0,2026-07-06
RF0170,EMP012,1682.0,2026-07-11
RF0171,EMP050,1779.0,2026-08-08
RF0172,EMP041,2453.0,2026-08-08
RF0173,EMP043,2832.0,2026-07-21
RF0174,EMP005,1788.0,2026-07-17
RF0175,EMP029,1264.0,2026-08-03
RF0176,EMP027,2165.0,2026-07-08
RF0177,EMP032,316.0,2026-07-27
RF0178,EMP043,2564.0,2026-07-28
RF0179,EMP018,4718.0,2026-07-30
RF0180,EMP027,2110.0,2026-07-09
